"series","subject","block","n_reps","mean","ci_lower","ci_upper","block_start_day","scenario"
"occupancy","R2E operating theatres",3,30,0.496932146476372,0.432894571141821,0.560969721810923,61,"moderate_intensity"
"occupancy","R2E operating theatres",4,30,0.430166877361667,0.376628682037677,0.483705072685657,91,"moderate_intensity"
"occupancy","R2E operating theatres",5,30,0.48428831982259,0.412624353433861,0.55595228621132,121,"moderate_intensity"
"occupancy","R2E operating theatres",6,30,0.45237713309582,0.400515687727754,0.504238578463886,151,"moderate_intensity"
"occupancy","R2E operating theatres",7,30,0.489460392924693,0.434792781429329,0.544128004420057,181,"moderate_intensity"
"occupancy","R2E operating theatres",8,30,0.460005035210919,0.394242928378423,0.525767142043416,211,"moderate_intensity"
"occupancy","R2E operating theatres",9,30,0.473007076182151,0.412661212803645,0.533352939560657,241,"moderate_intensity"
"occupancy","R2E operating theatres",10,30,0.501436058198674,0.431634958143695,0.571237158253652,271,"moderate_intensity"
"occupancy","R2E operating theatres",11,30,0.489881260421822,0.424068163776914,0.555694357066729,301,"moderate_intensity"
"occupancy","R2E operating theatres",12,30,0.461660130957148,0.411119701949585,0.512200559964711,331,"moderate_intensity"
"arrivals","system",1,30,35.1855555555556,34.1220457694126,36.2490653416985,1,"high_intensity"
"arrivals","system",2,30,34.2655555555556,33.1288178919932,35.4022932191179,31,"high_intensity"
"arrivals","system",3,30,35.3377777777778,33.8416597382572,36.8338958172983,61,"high_intensity"
"arrivals","system",4,30,34.6633333333333,33.5474278879435,35.7792387787232,91,"high_intensity"
"arrivals","system",5,30,33.6544444444444,32.5239083890907,34.7849804997982,121,"high_intensity"
"arrivals","system",6,30,34.4055555555556,33.1150361346131,35.696074976498,151,"high_intensity"
"arrivals","system",7,30,35.1377777777778,34.1263211846374,36.1492343709181,181,"high_intensity"
"arrivals","system",8,30,34.4622222222222,33.3786429643586,35.5458014800859,211,"high_intensity"
"arrivals","system",9,30,34.2233333333333,33.0745827056279,35.3720839610388,241,"high_intensity"
"arrivals","system",10,30,35.3311111111111,34.0266755119292,36.635546710293,271,"high_intensity"
"arrivals","system",11,30,34.3077777777778,33.2773167898715,35.338238765684,301,"high_intensity"
"arrivals","system",12,30,35.0144444444444,33.6705214515787,36.3583674373102,331,"high_intensity"
"dow","system",1,30,0.784444444444444,0.71974933389773,0.849139554991159,1,"high_intensity"
"dow","system",2,30,0.773333333333333,0.688762803923328,0.857903862743339,31,"high_intensity"
"dow","system",3,30,0.892222222222222,0.803744414850852,0.980700029593592,61,"high_intensity"
"dow","system",4,30,0.905555555555556,0.822922285186925,0.988188825924186,91,"high_intensity"
"dow","system",5,30,0.814444444444444,0.735069100192841,0.893819788696047,121,"high_intensity"
"dow","system",6,30,0.846666666666667,0.779153788831438,0.914179544501895,151,"high_intensity"
"dow","system",7,30,0.898888888888889,0.826497264377547,0.97128051340023,181,"high_intensity"
"dow","system",8,30,0.824444444444444,0.756353759717919,0.89253512917097,211,"high_intensity"
"dow","system",9,30,0.828888888888889,0.737848852628952,0.919928925148826,241,"high_intensity"
"dow","system",10,30,0.922222222222222,0.843410864712842,1.0010335797316,271,"high_intensity"
"dow","system",11,30,0.806666666666667,0.739011506528549,0.874321826804784,301,"high_intensity"
"dow","system",12,30,0.826666666666667,0.764183869009063,0.88914946432427,331,"high_intensity"
"evac_backlog","system",1,30,56.6611111111111,53.574709211727,59.7475130104952,1,"high_intensity"
"evac_backlog","system",2,30,196.583333333333,190.07039428242,203.096272384247,31,"high_intensity"
"evac_backlog","system",3,30,353.435555555556,344.623054981571,362.24805612954,61,"high_intensity"
"evac_backlog","system",4,30,508.564444444444,497.768946307219,519.35994258167,91,"high_intensity"
"evac_backlog","system",5,30,667.693333333333,655.560334907212,679.826331759455,121,"high_intensity"
"evac_backlog","system",6,30,828.604444444444,815.275969809775,841.932919079114,151,"high_intensity"
"evac_backlog","system",7,30,991.705555555556,976.802094899224,1006.60901621189,181,"high_intensity"
"evac_backlog","system",8,30,1154.49,1138.65654558216,1170.32345441784,211,"high_intensity"
"evac_backlog","system",9,30,1318.79666666667,1301.79407047955,1335.79926285379,241,"high_intensity"
"evac_backlog","system",10,30,1488.34111111111,1470.92888499755,1505.75333722467,271,"high_intensity"
"evac_backlog","system",11,30,1654.01666666667,1635.66142561609,1672.37190771724,301,"high_intensity"
"evac_backlog","system",12,30,1828.22444444444,1809.76182673474,1846.68706215415,331,"high_intensity"
"mean_queue","R2B holding beds",1,30,31.1394591393218,28.7962216646606,33.4826966139829,1,"high_intensity"
"mean_queue","R2B holding beds",2,30,33.1440406721372,30.5413524831602,35.7467288611142,31,"high_intensity"
"mean_queue","R2B holding beds",3,30,36.4548033385888,33.4631095095458,39.4464971676318,61,"high_intensity"
"mean_queue","R2B holding beds",4,30,34.1330396211406,32.1426855473669,36.1233936949144,91,"high_intensity"
