"decisions","boarded","queued_at_end","mean_wait_days","p90_wait_days","mean_wait_critical","mean_wait_standard","sorties_scheduled","sorties_flown","cancellation_rate","role4_peak","role4_peak_day","role4_peak_after_end","hold_total_bed_days","hold_evac_bed_days","hold_recovery_bed_days","hold_post_definitive_bed_days","hold_post_op_bed_days","hold_unexplained_bed_days","hold_evac_share","ventilated_holds","ventilated_hold_hours","replication","setting","value","arm","scenario"
146,146,0,0.947011703148817,4,0.736601966072505,1.14619958758106,4,4,0,79,28,-2,383.147644400132,94,219.706010049815,57.902412661872,11.539221688445,0,0.245336233626516,10,24.2091694583904,25,"shipped",0,"baseline","moderate_intensity"
179,179,0,0.258343692052056,1.01080396193006,0.241948167018545,0.296296296296296,4,4,0,124,30,0,387.043641392871,22,204.817546229081,131.213934453211,29.012160710579,5.6843418860808e-14,0.0568411353325109,18,24.1481040112598,26,"shipped",0,"baseline","moderate_intensity"
123,123,0,0.506360389768997,2,0.716029099269833,0.116279069767442,4,4,0,86,29,-1,314.493817736585,55,188.640460327264,57.3167705967052,13.5365868126161,-5.6843418860808e-14,0.174884200890929,6,24.6476439295583,27,"shipped",0,"baseline","moderate_intensity"
147,146,1,0.558917231043428,2,0.644492693602496,0.452277039239051,4,4,0,87,30,0,395.259194548483,63,250.265188514472,66.9604830935814,15.0335229404296,5.6843418860808e-14,0.159389081567013,9,20.9149341255089,28,"shipped",0,"baseline","moderate_intensity"
215,213,2,2.16878666007241,5,2.98631353161808,0.695086904786135,4,4,0,144,23,-7,673.241158416976,361,155.344441171591,124.466347032242,32.4303702131436,0,0.53621201776914,24,26.7756224953865,29,"shipped",0,"baseline","moderate_intensity"
170,170,0,0.539188238131328,2,0.303584163191344,0.884057971014493,4,4,0,110,28,-2,489.299756283582,78,288.676242280543,99.6026003288238,23.0209136742151,0,0.159411483448183,9,24.0769868688052,30,"shipped",0,"baseline","moderate_intensity"
191,188,3,1.16946193856685,3.01834358351138,1.39449191531667,0.806913642692138,4,4,0,111,28,-2,569.002992394444,145,283.227991219422,109.317280856506,31.4577203185166,-1.13686837721616e-13,0.254831700251381,21,25.6375000501156,31,"shipped",0,"baseline","moderate_intensity"
123,123,0,0.502152528965347,1.98088905565659,0.564997050157256,0.380952380952381,4,4,0,75,28,-2,364.597534913887,48,232.177431999173,69.8017163657936,14.6183865489202,1.13686837721616e-13,0.131652014628505,11,23.711715568051,32,"shipped",0,"baseline","moderate_intensity"
176,175,1,1.0807081522024,3,1.11098685565064,1.03419304255729,4,4,0,105,26,-4,472.732600763042,133,209.498268503887,102.383758311511,27.8505739476438,0,0.281342982873031,15,21.8892162204413,33,"shipped",0,"baseline","moderate_intensity"
164,159,5,0.495950038482634,2,0.631706936869163,0.2,4,4,0,117,28,-2,446.879252264954,49,252.533652305279,120.467267551236,24.8783324084395,-5.6843418860808e-14,0.109649306276023,21,24.3431802263436,34,"shipped",0,"baseline","moderate_intensity"
179,179,0,1.15246011825286,4,1.06713371625204,1.2792646323374,4,4,0,111,30,0,527.615348444531,78,288.462940706994,130.148576524458,31.0038312130789,1.13686837721616e-13,0.147834971499508,14,95.0150951609907,35,"shipped",0,"baseline","moderate_intensity"
205,204,1,1.16166170882568,4,1.01446137368907,1.40444667716788,4,4,0,123,30,0,617.876077776374,149,306.625865570625,131.160724828038,31.0894873777098,0,0.241148679094722,17,29.4903081904695,36,"shipped",0,"baseline","moderate_intensity"
192,191,1,0.962204634358533,4,0.866979152745748,1.10948671258631,4,4,0,118,30,0,560.852226175854,150,277.900262578058,105.366193958394,27.5857696394026,1.13686837721616e-13,0.267450128570886,18,24.6745172128223,37,"shipped",0,"baseline","moderate_intensity"
166,164,2,0.792428864158013,4.77643425369382,0.722960997041639,0.885714285714286,4,4,0,102,29,-1,397.273049892255,113,188.129204409242,75.1693545552397,20.9744909277733,5.6843418860808e-14,0.284439128278767,12,23.3058579126392,38,"shipped",0,"baseline","moderate_intensity"
174,174,0,1.21912515285105,4.78526655210852,1.11227474857078,1.40277428520777,4,4,0,118,30,0,535.607528546547,142,266.542394628138,100.851738830873,26.2133950875362,0,0.265119499692879,19,45.9509404334311,39,"shipped",0,"baseline","moderate_intensity"
