"stage","replication","day","n_decisions","daily_rate","cumulative_rate","intensity"
"Stabilisation",11,26,1,0,0.272727272727273,"Moderate intensity"
"Stabilisation",11,27,3,0,0.258620689655172,"Moderate intensity"
"Stabilisation",11,28,2,0.5,0.266666666666667,"Moderate intensity"
"Stabilisation",11,29,4,0.25,0.265625,"Moderate intensity"
"Stabilisation",11,30,2,0.5,0.272727272727273,"Moderate intensity"
"Stabilisation",12,1,1,0,0,"Moderate intensity"
"Stabilisation",12,2,2,0,0,"Moderate intensity"
"Stabilisation",12,3,2,0,0,"Moderate intensity"
"Stabilisation",12,4,2,1,0.285714285714286,"Moderate intensity"
"Stabilisation",12,5,3,0.333333333333333,0.3,"Moderate intensity"
"Stabilisation",12,6,2,0,0.25,"Moderate intensity"
"Stabilisation",12,7,3,0.333333333333333,0.266666666666667,"Moderate intensity"
"Stabilisation",12,8,3,0.666666666666667,0.333333333333333,"Moderate intensity"
"Stabilisation",12,9,5,0.2,0.304347826086957,"Moderate intensity"
"Stabilisation",12,10,3,0,0.269230769230769,"Moderate intensity"
"Stabilisation",12,11,6,0.5,0.3125,"Moderate intensity"
"Stabilisation",12,12,3,0,0.285714285714286,"Moderate intensity"
"Stabilisation",12,13,5,1,0.375,"Moderate intensity"
"Stabilisation",12,14,3,0.666666666666667,0.395348837209302,"Moderate intensity"
"Stabilisation",12,15,1,0,0.386363636363636,"Moderate intensity"
"Stabilisation",12,16,3,0.333333333333333,0.382978723404255,"Moderate intensity"
"Stabilisation",12,17,4,0.25,0.372549019607843,"Moderate intensity"
"Stabilisation",12,18,8,0.625,0.406779661016949,"Moderate intensity"
"Stabilisation",12,19,5,0,0.375,"Moderate intensity"
"Stabilisation",12,20,4,0.75,0.397058823529412,"Moderate intensity"
"Stabilisation",12,21,10,0.4,0.397435897435897,"Moderate intensity"
"Stabilisation",12,22,10,0.4,0.397727272727273,"Moderate intensity"
"Stabilisation",12,23,6,0.666666666666667,0.414893617021277,"Moderate intensity"
"Stabilisation",12,24,1,1,0.421052631578947,"Moderate intensity"
"Stabilisation",12,25,1,1,0.427083333333333,"Moderate intensity"
"Stabilisation",12,26,7,0.571428571428571,0.436893203883495,"Moderate intensity"
"Stabilisation",12,27,3,0.666666666666667,0.443396226415094,"Moderate intensity"
"Stabilisation",12,28,3,1,0.458715596330275,"Moderate intensity"
"Stabilisation",12,29,0,NA,0.458715596330275,"Moderate intensity"
"Stabilisation",12,30,6,0.833333333333333,0.478260869565217,"Moderate intensity"
"Stabilisation",13,1,3,0,0,"Moderate intensity"
"Stabilisation",13,2,3,1,0.5,"Moderate intensity"
"Stabilisation",13,3,0,NA,0.5,"Moderate intensity"
"Stabilisation",13,4,8,0.5,0.5,"Moderate intensity"
"Stabilisation",13,5,10,0.2,0.375,"Moderate intensity"
"Stabilisation",13,6,6,0.5,0.4,"Moderate intensity"
"Stabilisation",13,7,9,0.444444444444444,0.41025641025641,"Moderate intensity"
"Stabilisation",13,8,5,1,0.477272727272727,"Moderate intensity"
"Stabilisation",13,9,6,1,0.54,"Moderate intensity"
"Stabilisation",13,10,5,1,0.581818181818182,"Moderate intensity"
"Stabilisation",13,11,4,1,0.610169491525424,"Moderate intensity"
"Stabilisation",13,12,3,1,0.629032258064516,"Moderate intensity"
"Stabilisation",13,13,2,1,0.640625,"Moderate intensity"
"Stabilisation",13,14,3,1,0.656716417910448,"Moderate intensity"
"Stabilisation",13,15,1,1,0.661764705882353,"Moderate intensity"
"Stabilisation",13,16,2,1,0.671428571428571,"Moderate intensity"
"Stabilisation",13,17,2,1,0.680555555555556,"Moderate intensity"
"Stabilisation",13,18,7,0.142857142857143,0.632911392405063,"Moderate intensity"
"Stabilisation",13,19,4,0.5,0.626506024096386,"Moderate intensity"
"Stabilisation",13,20,8,0.125,0.582417582417582,"Moderate intensity"
"Stabilisation",13,21,7,0.142857142857143,0.551020408163265,"Moderate intensity"
"Stabilisation",13,22,1,1,0.555555555555556,"Moderate intensity"
"Stabilisation",13,23,0,NA,0.555555555555556,"Moderate intensity"
"Stabilisation",13,24,0,NA,0.555555555555556,"Moderate intensity"
"Stabilisation",13,25,0,NA,0.555555555555556,"Moderate intensity"
"Stabilisation",13,26,3,0.666666666666667,0.558823529411765,"Moderate intensity"
"Stabilisation",13,27,1,0,0.553398058252427,"Moderate intensity"
"Stabilisation",13,28,7,0.571428571428571,0.554545454545455,"Moderate intensity"
"Stabilisation",13,29,3,0.666666666666667,0.557522123893805,"Moderate intensity"
"Stabilisation",13,30,1,1,0.56140350877193,"Moderate intensity"
"Stabilisation",14,1,2,0,0,"Moderate intensity"
"Stabilisation",14,2,2,0.5,0.25,"Moderate intensity"
"Stabilisation",14,3,1,1,0.4,"Moderate intensity"
"Stabilisation",14,4,1,0,0.333333333333333,"Moderate intensity"
"Stabilisation",14,5,3,0,0.222222222222222,"Moderate intensity"
"Stabilisation",14,6,6,0.5,0.333333333333333,"Moderate intensity"
"Stabilisation",14,7,1,1,0.375,"Moderate intensity"
"Stabilisation",14,8,4,0.25,0.35,"Moderate intensity"
