"pool","replication","zero_share","longest_busy_days","intensity"
"R2E intensive care",33,0.66683736037898,1.96859831124736,"Moderate intensity"
"R2E intensive care",34,0.574498233745436,2.13777627879154,"Moderate intensity"
"R2E intensive care",35,0.323557982877343,17.7148787380852,"Moderate intensity"
"R2E intensive care",36,0.64301430431566,2.14624189213279,"Moderate intensity"
"R2E intensive care",37,0.747503710808097,1.34682444621741,"Moderate intensity"
"R2E intensive care",38,0.781568470175823,1.70801794220434,"Moderate intensity"
"R2E intensive care",39,0.41820761942315,16.2039859921513,"Moderate intensity"
"R2E intensive care",40,0.780075733843218,1.26964861375437,"Moderate intensity"
"R2E intensive care",41,0.9214952103725,0.916445649159944,"Moderate intensity"
"R2E intensive care",42,0.822067448513361,1.63867475431994,"Moderate intensity"
"R2E intensive care",43,0.824604307575918,1.32475251751843,"Moderate intensity"
"R2E intensive care",44,0.941261737316064,0.844833854538324,"Moderate intensity"
"R2E intensive care",45,0.664095757301978,1.85945690300389,"Moderate intensity"
"R2E intensive care",46,0.789100710928911,1.90068176017941,"Moderate intensity"
"R2E intensive care",47,0.923120511407923,1.5855290484037,"Moderate intensity"
"R2E intensive care",48,0.807510274288274,1.58099552926671,"Moderate intensity"
"R2E intensive care",49,0.80906698059531,1.54050406219925,"Moderate intensity"
"R2E intensive care",50,0.922754110408654,0.983367439639822,"Moderate intensity"
"R2E holding beds",1,1,0,"Moderate intensity"
"R2E holding beds",2,0.808425953438421,5.74722139684737,"Moderate intensity"
"R2E holding beds",3,0.906790800134045,2.79627599597866,"Moderate intensity"
"R2E holding beds",4,0.101557661507304,26.9532701547809,"Moderate intensity"
"R2E holding beds",5,0.489929621478107,12.2400613596512,"Moderate intensity"
"R2E holding beds",6,0.531485886866001,14.05542339402,"Moderate intensity"
"R2E holding beds",7,1,0,"Moderate intensity"
"R2E holding beds",8,1,0,"Moderate intensity"
"R2E holding beds",9,1,0,"Moderate intensity"
"R2E holding beds",10,0.177535055052436,24.6739483484269,"Moderate intensity"
"R2E holding beds",11,0.563362329416596,9.69157162064153,"Moderate intensity"
"R2E holding beds",12,1,0,"Moderate intensity"
"R2E holding beds",13,1,0,"Moderate intensity"
"R2E holding beds",14,0.604758090853966,11.857257274381,"Moderate intensity"
"R2E holding beds",15,1,0,"Moderate intensity"
"R2E holding beds",16,0.182285035832806,24.5314489250158,"Moderate intensity"
"R2E holding beds",17,0.454017317122725,16.3794804863182,"Moderate intensity"
"R2E holding beds",18,1,0,"Moderate intensity"
"R2E holding beds",19,0.966119123386787,1.0164262983964,"Moderate intensity"
"R2E holding beds",20,1,0,"Moderate intensity"
"R2E holding beds",21,1,0,"Moderate intensity"
"R2E holding beds",22,0.935615609256699,1.93153172229902,"Moderate intensity"
"R2E holding beds",23,1,0,"Moderate intensity"
"R2E holding beds",24,1,0,"Moderate intensity"
"R2E holding beds",25,0.545625107443889,13.6312467766833,"Moderate intensity"
"R2E holding beds",26,1,0,"Moderate intensity"
"R2E holding beds",27,1,0,"Moderate intensity"
"R2E holding beds",28,0.761665481923355,7.15003554229934,"Moderate intensity"
"R2E holding beds",29,0.173991907366569,24.7802427790029,"Moderate intensity"
"R2E holding beds",30,0.99892459485202,0.0322621544393883,"Moderate intensity"
"R2E holding beds",31,0.185433099525746,24.4370070142276,"Moderate intensity"
"R2E holding beds",32,1,0,"Moderate intensity"
"R2E holding beds",33,0.421986904249293,17.3403928725212,"Moderate intensity"
"R2E holding beds",34,0.990450326755003,0.286490197349915,"Moderate intensity"
"R2E holding beds",35,0.378094837724192,18.6571548682742,"Moderate intensity"
"R2E holding beds",36,0.195226104654288,24.1432168603713,"Moderate intensity"
"R2E holding beds",37,0.535513132277072,13.9346060316879,"Moderate intensity"
"R2E holding beds",38,0.954329726668089,1.37010819995734,"Moderate intensity"
"R2E holding beds",39,0.176652017204996,24.7004394838501,"Moderate intensity"
"R2E holding beds",40,1,0,"Moderate intensity"
"R2E holding beds",41,1,0,"Moderate intensity"
"R2E holding beds",42,1,0,"Moderate intensity"
"R2E holding beds",43,0.43036655128866,17.0890034613402,"Moderate intensity"
"R2E holding beds",44,1,0,"Moderate intensity"
"R2E holding beds",45,1,0,"Moderate intensity"
"R2E holding beds",46,0.664856639233916,10.0543008229825,"Moderate intensity"
"R2E holding beds",47,0.455171433922143,16.3448569823357,"Moderate intensity"
"R2E holding beds",48,0.49326722740327,15.2019831779019,"Moderate intensity"
"R2E holding beds",49,1,0,"Moderate intensity"
"R2E holding beds",50,0.695046153930545,9.14861538208365,"Moderate intensity"
"R2B holding beds",1,0.0352142946163441,28.9435711615097,"High intensity"
"R2B holding beds",2,0.0668027594515065,27.9959172164548,"High intensity"
"R2B holding beds",3,0.0570353175844696,28.2889404724659,"High intensity"
"R2B holding beds",4,0.0583929352460163,28.2482119426195,"High intensity"
"R2B holding beds",5,0.0906234283479169,27.1531834711913,"High intensity"
"R2B holding beds",6,0.0787397082787347,27.637808751638,"High intensity"
"R2B holding beds",7,0.082421733400611,27.5273479979817,"High intensity"
"R2B holding beds",8,0.124811997967021,26.2556400609894,"High intensity"
"R2B holding beds",9,0.0425382621971391,28.7238521340858,"High intensity"
"R2B holding beds",10,0.0213696033125539,29.3589119006234,"High intensity"
"R2B holding beds",11,0.123496714456067,24.0599652798533,"High intensity"
"R2B holding beds",12,0.0703335721322236,27.8899928360333,"High intensity"
"R2B holding beds",13,0.0558786782785743,28.3236396516428,"High intensity"
"R2B holding beds",14,0.0244622425831319,29.266132722506,"High intensity"
"R2B holding beds",15,0.0592118118224617,28.2236456453261,"High intensity"
"R2B holding beds",16,0.0914761274597977,27.2557161762061,"High intensity"
"R2B holding beds",17,0.0888997280148687,21.8333052938903,"High intensity"
"R2B holding beds",18,0.0226280222510599,29.3211593324682,"High intensity"
"R2B holding beds",19,0.11404482828413,26.5786551514761,"High intensity"
"R2B holding beds",20,0.08023050428048,27.5930848715856,"High intensity"
"R2B holding beds",21,0.0769560740386057,27.6913177788418,"High intensity"
"R2B holding beds",22,0.0891525629100235,27.3254231126993,"High intensity"
"R2B holding beds",23,0.0358006747384096,28.9259797578477,"High intensity"
"R2B holding beds",24,0.0330647657569584,29.0080570272912,"High intensity"
"R2B holding beds",25,0.108238733774294,26.7528379867712,"High intensity"
"R2B holding beds",26,0.119471706260115,26.4158488121966,"High intensity"
"R2B holding beds",27,0.0772390294976075,27.6828291150718,"High intensity"
